request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
65,BasicRequest,1,1920,1920,2966;-1;-1,2992;-1;-1,,,,,131.62933504116845,1285.4828948015352,0:t_wait:287.28452217830863;t_drive:161.62933504116836;fare:128,,,0,0,2207.2845221783105,2368.9138572194793,128,0
64,BasicRequest,1,1920,1920,2980;-1;-1,2973;-1;-1,,,,,299.1366948535655,2548.14656378234,0:t_wait:276.1352661949695;t_drive:329.1366948535656;fare:254,,,0,1,2041.9470765750052,2371.0837714285713,254,0
70,BasicRequest,1,2160,2160,2987;-1;-1,2989;-1;-1,,,,,69.140516135734,805.5238179628254,0:t_wait:101.92668386426612;t_drive:99.14051613573383;fare:100,,,0,4,2261.9266838642666,2361.0672000000013,100,0
76,BasicRequest,1,2340,2340,2967;-1;-1,2968;-1;-1,,,,,26.294029957853784,365.19486052574706,0:t_wait:95.9311857482221;t_drive:56.29402995785358;fare:100,,,0.0,0.0,2455.6693343196507,2511.963364277504,100.0,0
83,BasicRequest,1,2520,2520,2975;-1;-1,2993;-1;-1,,,,,253.4877967621859,2687.8189953409874,0:,,,,,,,,0
84,BasicRequest,1,2520,2520,2986;-1;-1,2971;-1;-1,,,,,143.92572934944374,1571.402214676488,0:,,,,,,,,0
71,BasicRequest,1,2220,2220,2975;-1;-1,2966;-1;-1,,,,,278.7330181679733,2052.499384524949,0:t_wait:0;t_drive:308.7330181679731;fare:205,,,0,6,2220.0,2528.733018167973,205,0
68,BasicRequest,1,2040,2040,2991;-1;-1,2983;-1;-1,,,,,292.24421954165257,3171.840523572809,0:t_wait:92.91854204760057;t_drive:322.24421954165246;fare:317,,,0,7,2132.9185420476,2579.4399730178247,317,0
75,BasicRequest,1,2340,2340,2979;-1;-1,2985;-1;-1,,,,,127.19375692996377,1095.4194264450591,0:t_wait:244.25825958274345;t_drive:157.1937569299639;fare:109,,,0,3,2425.8324765383136,2583.026233468278,109,0
81,BasicRequest,1,2520,2520,2973;-1;-1,2976;-1;-1,,,,,113.23706194000326,1289.1591567814912,0:t_wait:138.99017005999667;t_drive:143.23706194000306;fare:128,,,0,1,2520.0,2663.2370619400035,128,0
73,BasicRequest,1,2280,2280,2972;-1;-1,2981;-1;-1,,,,,196.4037047574209,2106.0954485983193,0:t_wait:159.9012128653544;t_drive:226.4037047574211;fare:210,,,0,4,2429.811317282409,2656.215022039831,210,0
72,BasicRequest,1,2280,2280,2972;-1;-1,2981;-1;-1,,,,,196.4037047574209,2106.0954485983193,0:t_wait:159.9012128653544;t_drive:226.4037047574211;fare:210,,,0,4,2429.811317282409,2656.215022039831,210,0
77,BasicRequest,1,2340,2340,2969;-1;-1,2977;-1;-1,,,,,256.65680684883455,2203.346162362212,0:t_wait:31.637641524974242;t_drive:286.65680684883455;fare:220,,,0,8,2371.6376415249742,2658.294448373807,220,0
79,BasicRequest,1,2400,2400,2993;-1;-1,2989;-1;-1,,,,,193.31525508792765,2141.1009700766253,0:t_wait:181.89147220109453;t_drive:285.39463908792777;fare:214,,,0,0,2419.8045647725235,2703.119819860451,214,0
80,BasicRequest,1,2520,2520,2969;-1;-1,2980;-1;-1,,,,,155.08511221628882,1780.8795979021434,0:t_wait:172.5497643587173;t_drive:185.08511221628896;fare:178,,,0,2,2533.985975052738,2719.071087269027,178,0
74,BasicRequest,1,2280,2280,2980;-1;-1,2972;-1;-1,,,,,344.7104419812344,2999.8842262698045,0:t_wait:183.90759926902774;t_drive:374.71044198123445;fare:299,,,0,7,2330.5712882425696,2808.4904422238046,299,0
86,BasicRequest,1,2640,2640,2984;-1;-1,2985;-1;-1,,,,,44.90889004259791,386.725802383677,0:t_wait:71.60019463323124;t_drive:74.9088900425977;fare:100,,,0,8,2734.6210797994854,2809.529969842083,100,0
82,BasicRequest,1,2520,2520,2982;-1;-1,2968;-1;-1,,,,,267.32979486850445,3256.625776810199,0:t_wait:222.68291675768796;t_drive:297.32979486850445;fare:325,,,0,5,2633.562523168093,2930.8923180365978,325,0
78,BasicRequest,1,2400,2400,2991;-1;-1,2989;-1;-1,,,,,159.99169603665342,1678.2737610311506,0:t_wait:155.46935925236903;t_drive:189.9916960366536;fare:167,,,0,6,2692.362199242031,2882.3538952786844,167,0
87,BasicRequest,1,2700,2700,2970;-1;-1,2972;-1;-1,,,,,108.45391655041928,956.9275289670157,0:t_wait:200.5107744728498;t_drive:138.4539165504193;fare:100,,,0,0,2846.874283449583,2985.328200000003,100,0
85,BasicRequest,1,2640,2640,2976;-1;-1,2993;-1;-1,,,,,283.6171573887591,2938.897000562431,0:t_wait:53.68045726417449;t_drive:313.6171573887591;fare:293,,,0,1,2663.2370619400035,3006.854219328763,293,0
89,BasicRequest,1,2760,2760,2974;-1;-1,2969;-1;-1,,,,,194.46001538152086,2235.640880298901,0:t_wait:37.732394587082126;t_drive:224.46001538152086;fare:223,,,0,3,2797.7323945870826,3022.1924099686044,223,0
94,BasicRequest,1,2940,2940,2989;-1;-1,2990;-1;-1,,,,,76.35244077289025,636.2703397740854,0:t_wait:40.18079471759256;t_drive:106.35244077289008;fare:100,,,0,6,2940.0,3046.352440772891,100,0
91,BasicRequest,1,2760,2760,2981;-1;-1,2985;-1;-1,,,,,125.04318021931016,1077.497953856279,0:t_wait:198.21605362277296;t_drive:155.04318021931022;fare:107,,,0,8,2958.216053622774,3113.2592338420845,107,0
90,BasicRequest,1,2760,2760,2984;-1;-1,2973;-1;-1,,,,,120.62703736676937,1438.3667374416139,0:t_wait:241.72106320108196;t_drive:150.6270373667694;fare:143,,,0,2,3001.721063201082,3152.3481005678514,143,0
88,BasicRequest,1,2700,2700,2966;-1;-1,2978;-1;-1,,,,,267.09514930965764,2602.981249217213,0:t_wait:229.98696027803135;t_drive:297.0951493096577;fare:260,,,0,4,2929.9869602780304,3227.082109587688,260,0
92,BasicRequest,1,2760,2760,2992;-1;-1,2985;-1;-1,,,,,261.8781329001104,2760.441623612645,0:t_wait:170.57517897857315;t_drive:321.87813290011036;fare:276,,,0,1,2955.963511775719,3282.2759086758297,276,0
98,BasicRequest,1,3060,3060,2985;-1;-1,2972;-1;-1,,,,,121.29189445184034,1503.3785975454011,0:t_wait:147.11132383387394;t_drive:151.29189445184056;fare:150,,,0,0,3207.111323833873,3358.403218285714,150,0
101,BasicRequest,1,3180,3180,2967;-1;-1,2993;-1;-1,,,,,16.5010224528733,229.18086740101808,0:t_wait:91.29543594574352;t_drive:46.50102245287326;fare:100,,,0,3,3271.2954359457444,3317.7964583986177,100,0
96,BasicRequest,1,3060,3060,2968;-1;-1,2984;-1;-1,,,,,252.03090151377353,2458.521112089736,0:t_wait:0;t_drive:282.03090151377364;fare:245,,,0,5,3060.0,3342.0309015137736,245,0
100,BasicRequest,1,3120,3120,2970;-1;-1,2973;-1;-1,,,,,142.8974448513218,1435.3098664795507,0:t_wait:11.053039959097987;t_drive:172.89744485132178;fare:143,,,0,6,3131.0530399590984,3303.9504848104216,143,0
97,BasicRequest,1,3060,3060,2977;-1;-1,2987;-1;-1,,,,,153.9073630734042,1643.223308779993,0:t_wait:167.09771237380755;t_drive:183.9073630734042;fare:164,,,0,8,3227.097712373807,3411.0050754472113,164,0
95,BasicRequest,1,3000,3000,2976;-1;-1,2992;-1;-1,,,,,262.72644983571485,2648.7482845479276,0:t_wait:131.39807824090576;t_drive:292.7264498357149;fare:264,,,0,7,3131.3980782409058,3424.124528076621,264,0
99,BasicRequest,1,3120,3120,2979;-1;-1,2969;-1;-1,,,,,176.08738061285237,2297.2581998185124,0:t_wait:215.43577253000467;t_drive:206.08738061285248;fare:229,,,0,4,3294.507570717917,3500.5949513307696,229,0
104,BasicRequest,1,3240,3240,2987;-1;-1,2975;-1;-1,,,,,75.98061628562048,1011.5698525452128,0:t_wait:211.58578486757187;t_drive:105.98061628562027;fare:101,,,0,0,3451.5857848675723,3557.5664011531926,101,0
102,BasicRequest,1,3180,3180,2990;-1;-1,2976;-1;-1,,,,,215.70824275042304,1797.5686895868585,0:t_wait:158.1614877574316;t_drive:245.70824275042287;fare:179,,,0,2,3338.161487757433,3583.869730507855,179,0
93,BasicRequest,1,2940,2940,2977;-1;-1,2969;-1;-1,,,,,255.18454515116554,2388.646837637787,0:t_wait:200.30021679086167;t_drive:285.18454515116537;fare:238,,,0,8,3227.097712373807,3603.234409524973,238,0
106,BasicRequest,1,3360,3360,2978;-1;-1,2991;-1;-1,,,,,213.15604776440068,2604.1815706442994,0:t_wait:189.79905861563566;t_drive:243.15604776440068;fare:260,,,0,5,3463.963685496178,3707.1197332605793,260,0
107,BasicRequest,1,3420,3420,2990;-1;-1,2993;-1;-1,,,,,103.11559213918216,1265.2456901492892,0:t_wait:155.81338718958023;t_drive:133.11559213918235;fare:126,,,0,6,3575.8133871895816,3708.9289793287644,126,0
105,BasicRequest,1,3360,3360,2969;-1;-1,2975;-1;-1,,,,,235.2593142078593,2740.0593236874183,0:t_wait:63.79644102995462;t_drive:265.25931420785946;fare:274,,,0,3,3423.7964410299546,3759.055115237815,274,0
108,BasicRequest,1,3480,3480,2989;-1;-1,2976;-1;-1,,,,,170.1421955233133,1917.4080293609436,0:t_wait:122.08795908792717;t_drive:230.1421955233136;fare:191,,,0.0,3.0,3602.0879590879276,3832.2301546112412,191.0,0
110,BasicRequest,1,3480,3480,2969;-1;-1,2983;-1;-1,,,,,279.6765855629719,3227.3280516466893,0:t_wait:20.594951330769618;t_drive:309.6765855629719;fare:322,,,0.0,4.0,3500.5949513307696,3810.271536893743,322.0,0
120,BasicRequest,1,3840,3840,2972;-1;-1,2975;-1;-1,,,,,88.22303886747898,1181.6034995154696,0:,,,,,,,,0
103,BasicRequest,1,3240,3240,2980;-1;-1,2988;-1;-1,,,,,301.4303497212501,2580.00288138907,0:t_wait:271.4576685750071;t_drive:331.43034972124997;fare:258,,,0,1,3511.4576685750067,3842.8880182962575,258,0
114,BasicRequest,1,3660,3660,2970;-1;-1,2969;-1;-1,,,,,54.10132121003899,543.4817047950673,0:t_wait:154.5760780292203;t_drive:84.1013212100388;fare:100,,,0,5,3814.576078029221,3898.67739923926,100,0
109,BasicRequest,1,3480,3480,2966;-1;-1,2970;-1;-1,,,,,180.96943784269993,1660.3445869925658,0:t_wait:158.42488667311727;t_drive:210.9694378426998;fare:166,,,0,7,3638.424886673119,3849.3943245158184,166,0
