request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
p_9,BasicParcelRequest,1,0,,2986;-1;-1,2992;-1;-1,,,,,225.37832508265683,2665.0618483702337,0:t_wait:0;t_drive:0;fare:0,,,0,0,1237.6557040774248,1523.0340291600812,,0
p_17,BasicParcelRequest,1,0,,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:0;t_drive:0;fare:0,,,0,0,992.1853760175946,1523.0340291600812,,0
14,BasicRequest,1,1200,1200.0,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828495,0:t_wait:196.9006734284776;t_drive:138.18066588994202;fare:100,,,0,5,1396.900673428477,1535.0813393184187,100.0,0
12,BasicRequest,1,1080,1080.0,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:231.63101462928353;t_drive:228.06309279928792;fare:237,,,0,7,1311.631014629283,1539.6941074285717,237.0,0
p_2,BasicParcelRequest,1,0,,2979;-1;-1,2983;-1;-1,,,,,95.53311017582425,796.1092514652021,0:t_wait:0;t_drive:0;fare:0,,,0,1,1476.1792404322039,1631.7123506080284,,0
20,BasicRequest,1,1560,1560.0,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:t_wait:5.0813393184187134;t_drive:66.17924043220364;fare:100,,,0,5,1565.0813393184187,1631.2605797506226,100.0,0
15,BasicRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:283.92473671312564;t_drive:93.79644102995485;fare:100,,,0,0,1603.9247367131254,1697.72117774308,100,0
19,BasicRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:37.51804354900537;t_drive:156.96715614988648;fare:155,,,0,3,1537.5180435490054,1694.4851996988916,155,0
18,BasicRequest,1,1500,1500.0,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:t_wait:37.51804354900537;t_drive:230.30021679086167;fare:216,,,0,3,1537.5180435490054,1797.8182603398668,216.0,0
p_11,BasicParcelRequest,1,0,,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:t_wait:0;t_drive:0;fare:0,,,0,3,1537.5180435490054,1797.8182603398668,,0
16,BasicRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:t_wait:132.58664960817623;t_drive:115.83247653831313;fare:100,,,0,1,1706.4570038938912,1852.2894804322043,100,0
21,BasicRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:t_wait:164.8640193019753;t_drive:67.425461130229;fare:100,,,0,1,1784.8640193019753,1852.2894804322043,100,0
p_16,BasicParcelRequest,1,0,,2984;-1;-1,2986;-1;-1,,,,,65.61792805983069,674.351330400799,0:t_wait:0;t_drive:0;fare:0,,,0,5,1789.6433746379887,1885.261302697819,,0
23,BasicRequest,1,1680,1680.0,2967;-1;-1,2990;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:139.0166136888231;t_drive:167.56405431369126;fare:153,,,0,0,1819.0166136888236,2016.5806680025146,153.0,0
p_28,BasicParcelRequest,1,0,,2969;-1;-1,2990;-1;-1,,,,,79.63238283086302,728.142628879116,0:t_wait:0;t_drive:0;fare:0,,,0,0,1697.72117774308,2016.5806680025146,,0
22,BasicRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.1193087163879,0:t_wait:299.0537818081441;t_drive:159.65668328940978;fare:109,,,0,3,1919.0537818081434,2078.7104650975525,109,0
17,BasicRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290782,0:t_wait:198.35107749513077;t_drive:196.20078449443827;fare:189,,,0,5,1789.6433746379887,2045.8441591324263,189,0
25,BasicRequest,1,1680,1680,2990;-1;-1,2982;-1;-1,,,,,224.7451087756582,1872.8759064638184,0:t_wait:113.87048432189567;t_drive:254.74510877565808;fare:187,,,0,6,1793.870484321896,2048.6155930975547,187,0
24,BasicRequest,1,1680,1680,2969;-1;-1,2977;-1;-1,,,,,256.65680684883455,2203.346162362212,0:t_wait:226.94828517165115;t_drive:385.4986468488346;fare:220,,,0,0,1906.9482851716518,2292.4469320204844,220,0
29,BasicRequest,1,2160,2160,2981;-1;-1,2976;-1;-1,,,,,135.07555748348486,1148.6160456957073,0:t_wait:0;t_drive:165.07555748348477;fare:114,,,0,2,2160.0,2325.075557483485,114,0
26,BasicRequest,1,2040,2040,2991;-1;-1,2993;-1;-1,,,,,56.75290494872581,788.2347909545251,0:t_wait:170.72027381336557;t_drive:86.7529049487257;fare:100,,,0,5,2257.529681813366,2344.2825867620923,100,0
27,BasicRequest,1,2040,2040,2969;-1;-1,2993;-1;-1,,,,,75.16881497004519,1044.011319028405,0:t_wait:169.113771792046;t_drive:135.16881497004488;fare:104,,,0,5,2209.1137717920465,2344.2825867620923,104,0
p_20,BasicParcelRequest,1,0,,2978;-1;-1,2975;-1;-1,,,,,159.65721537951197,1267.7773662578381,0:t_wait:0;t_drive:0;fare:0,,,0,3,2126.7048757479497,2497.5762716988907,,0
30,BasicRequest,1,2280,2280,2986;-1;-1,2984;-1;-1,,,,,83.35824565445503,777.242669599201,0:t_wait:159.05661823654373;t_drive:113.358245654455;fare:100,,,0,2,2439.0566182365424,2552.414863890997,100,0
