request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
13,UserDecisionRequest,1,1140,1140,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:0;t_drive:157.42579406656046;fare:138;willing:True|1:t_wait:0;t_drive:157.42579406656046;fare:138;willing:True,,,0,2,1140,1297.42579406656,138,0
10,UserDecisionRequest,1,960,960,2977;-1;-1,2991;-1;-1,,,,,254.82775117248474,2383.691365711668,0:t_wait:23.838478531723126;t_drive:361.4606871724849;fare:238;willing:True|1:t_wait:132.58664960817623;t_drive:284.8277511724848;fare:238;willing:True,,,0,4,983.8384785317231,1345.299165704207,238,0
11,UserDecisionRequest,1,1080,1080,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:t_wait:173.11103030620166;t_drive:143.57192524896664;fare:100;willing:True|1:t_wait:132.58664960817623;t_drive:143.57192524896664;fare:100;willing:True,,,1,4,1212.5866496081762,1356.158574857143,100,0
14,UserDecisionRequest,1,1200,1200,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828495,0:t_wait:91.20710369889184;t_drive:138.18066588994202;fare:100;willing:True|1:t_wait:70.06202256657639;t_drive:138.18066588994202;fare:100;willing:True,,,1,0,1270.062022566576,1408.242688456518,100,0
12,UserDecisionRequest,1,1080,1080,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:181.61629531920016;t_drive:228.06309279928792;fare:237;willing:True|1:t_wait:217.6905634285713;t_drive:228.06309279928792;fare:237;willing:True,,,0,1,1261.6162953191995,1489.679388118488,237,0
15,UserDecisionRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:112.05207065293325;t_drive:93.79644102995485;fare:100;willing:True|1:t_wait:188.9662684610778;t_drive:93.79644102995485;fare:100;willing:True,,,0,4,1432.052070652933,1525.8485116828876,100,0
16,UserDecisionRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:t_wait:43.52576857432109;t_drive:115.83247653831313;fare:100;willing:True|1:t_wait:132.58664960817623;t_drive:115.83247653831313;fare:100;willing:True,,,0,2,1483.525768574321,1599.3582451126342,100,0
20,UserDecisionRequest,1,1560,1560,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:t_wait:100.91084468043073;t_drive:66.17924043220364;fare:100;willing:True|1:t_wait:0;t_drive:66.17924043220364;fare:100;willing:True,,,1,4,1560,1626.1792404322039,100,0
19,UserDecisionRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:37.51804354900537;t_drive:156.96715614988648;fare:155;willing:True|1:t_wait:37.51804354900537;t_drive:156.96715614988648;fare:155;willing:True,,,1,1,1537.5180435490054,1694.4851996988916,155,0
17,UserDecisionRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290782,0:t_wait:80.3549866679923;t_drive:196.20078449443827;fare:189;willing:True|1:t_wait:133.26973817671228;t_drive:196.20078449443827;fare:189;willing:True,,,0,0,1580.3549866679925,1776.5557711624301,189,0
21,UserDecisionRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:t_wait:87.49974398240533;t_drive:67.425461130229;fare:100;willing:True|1:t_wait:79.08939415911755;t_drive:67.425461130229;fare:100;willing:True,,,1,0,1699.0893941591173,1766.5148552893463,100,0
18,UserDecisionRequest,1,1500,1500,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:t_wait:37.51804354900537;t_drive:230.30021679086167;fare:216;willing:True|1:t_wait:37.51804354900537;t_drive:230.30021679086167;fare:216;willing:True,,,1,1,1537.5180435490054,1797.8182603398668,216,0
22,UserDecisionRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.1193087163879,0:t_wait:136.5520020425979;t_drive:159.65668328940978;fare:109;willing:True|1:t_wait:134.86890125201535;t_drive:159.65668328940978;fare:109;willing:True,,,1,3,1754.8689012520151,1914.525584541425,109,0
23,UserDecisionRequest,1,1680,1680,2967;-1;-1,2990;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:91.2954359457433;t_drive:167.56405431369126;fare:153;willing:True|1:t_wait:220.37259713002413;t_drive:167.56405431369103;fare:153;willing:True,,,0,4,1771.2954359457435,1938.8594902594348,153,0
