request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
11,PreferredOperatorRequest,1,1080,1080,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:t_wait:91.50228744905871;t_drive:143.57192524896664;fare:100;willing:True|1:t_wait:143.3950832075518;t_drive:143.57192524896664;fare:100;willing:True,,,1,0,1223.3950832075511,1366.967008456518,100,0
10,PreferredOperatorRequest,1,960,960,2977;-1;-1,2991;-1;-1,,,,,254.82775117248474,2383.691365711668,0:t_wait:91.50228744905871;t_drive:284.8277511724848;fare:238;willing:True|1:t_wait:23.838478531723126;t_drive:361.4606871724849;fare:238;willing:True,,,1,4,983.8384785317231,1345.299165704207,238,0
14,PreferredOperatorRequest,1,1200,1200,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828495,0:t_wait:91.20710369889184;t_drive:138.18066588994202;fare:100;willing:True|1:t_wait:75.9806162856205;t_drive:138.18066588994202;fare:100;willing:True,,,0,2,1291.2071036988916,1429.3877695888336,100,0
12,PreferredOperatorRequest,1,1080,1080,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:168.0755609080336;t_drive:228.06309279928792;fare:237;willing:True|1:t_wait:231.63101462928353;t_drive:228.06309279928792;fare:237;willing:True,,,1,2,1311.631014629283,1539.6941074285717,237,0
15,PreferredOperatorRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:188.9662684610778;t_drive:93.79644102995485;fare:100;willing:True|1:t_wait:112.05207065293325;t_drive:93.79644102995485;fare:100;willing:True,,,0,3,1508.966268461077,1602.7627094910317,100,0
16,PreferredOperatorRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:t_wait:79.67189809945626;t_drive:115.83247653831313;fare:100;willing:True|1:t_wait:43.52576857432109;t_drive:115.83247653831313;fare:100;willing:True,,,0,4,1519.6718980994565,1635.5043746377696,100,0
20,PreferredOperatorRequest,1,1560,1560,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:t_wait:0;t_drive:66.17924043220364;fare:100;willing:True|1:t_wait:0;t_drive:66.17924043220364;fare:100;willing:True,,,1,0,1560.0,1626.1792404322039,100,0
17,PreferredOperatorRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290782,0:t_wait:92.18537601759476;t_drive:196.20078449443827;fare:189;willing:True|1:t_wait:0;t_drive:196.20078449443827;fare:189;willing:True,,,1,1,1500.0,1696.2007844944376,189,0
19,PreferredOperatorRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:281.05422754900474;t_drive:156.96715614988648;fare:155;willing:True|1:t_wait:69.14051613573406;t_drive:156.96715614988648;fare:155;willing:True,,,1,3,1569.1405161357343,1726.1076722856205,155,0
21,PreferredOperatorRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:t_wait:0;t_drive:67.425461130229;fare:100;willing:True|1:t_wait:114.32073930197475;t_drive:67.425461130229;fare:100;willing:True,,,1,0,1734.3207393019748,1801.7462004322038,100,0
