request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
147943,BasicRequest,1,29040.0,29040.0,22060;-1;-1,7197;-1;-1,,,,,138.36022617571427,1340.2220000000002,0:,,,,,,,,0
144433,BasicRequest,1,29040.0,29040.0,6776;-1;-1,18194;-1;-1,,,,,239.39707189,2565.96,0:,,,,,,,,0
148569,BasicRequest,1,29040.0,29040.0,22345;-1;-1,20337;-1;-1,,,,,93.20307074714287,1378.5590000000002,0:,,,,,,,,0
143978,BasicRequest,1,29040.0,29040.0,8539;-1;-1,7313;-1;-1,,,,,200.32732789,1683.27,0:,,,,,,,,0
144485,BasicRequest,1,29040.0,29040.0,18291;-1;-1,6689;-1;-1,,,,,40.284791889999994,401.407,0:,,,,,,,,0
147598,BasicRequest,1,29040.0,29040.0,6866;-1;-1,21787;-1;-1,,,,,315.51832789,3401.643000000001,0:,,,,,,,,0
148340,BasicRequest,1,29040.0,29040.0,6965;-1;-1,14288;-1;-1,,,,,29.42380789,387.776,0:,,,,,,,,0
146127,BasicRequest,1,29040.0,29040.0,18973;-1;-1,7603;-1;-1,,,,,125.7926261757143,1235.4920000000002,0:,,,,,,,,0
148114,BasicRequest,1,29040.0,29040.0,7137;-1;-1,21484;-1;-1,,,,,101.08943989000001,842.412,0:,,,,,,,,0
146770,BasicRequest,1,29040.0,29040.0,22065;-1;-1,21927;-1;-1,,,,,78.86603989000001,657.2170000000001,0:,,,,,,,,0
148533,BasicRequest,1,29040.0,29040.0,17438;-1;-1,16414;-1;-1,,,,,89.57181589,1095.0690000000002,0:,,,,,,,,0
143590,BasicRequest,1,29040.0,29040.0,21676;-1;-1,17758;-1;-1,,,,,41.411999890000004,345.1,0:,,,,,,,,0
146573,BasicRequest,1,29040.0,29040.0,8542;-1;-1,16573;-1;-1,,,,,252.94144788999995,2409.7690000000002,0:,,,,,,,,0
147265,BasicRequest,1,29040.0,29040.0,7744;-1;-1,5595;-1;-1,,,,,187.5284536042857,1894.5029999999997,0:,,,,,,,,0
143170,BasicRequest,1,29040.0,29040.0,6711;-1;-1,6682;-1;-1,,,,,37.409039889999995,311.74199999999996,0:,,,,,,,,0
145522,BasicRequest,1,29040.0,29040.0,7000;-1;-1,7334;-1;-1,,,,,170.84011189000003,2010.9160000000002,0:,,,,,,,,0
143640,BasicRequest,1,29040.0,29040.0,6856;-1;-1,7097;-1;-1,,,,,43.67075989,363.923,0:,,,,,,,,0
144435,BasicRequest,1,29040.0,29040.0,5557;-1;-1,22155;-1;-1,,,,,107.37964789,1289.058,0:,,,,,,,,0
148134,BasicRequest,1,29040.0,29040.0,6610;-1;-1,23046;-1;-1,,,,,51.35915989,427.993,0:,,,,,,,,0
146420,BasicRequest,1,29040.0,29040.0,7136;-1;-1,3824;-1;-1,,,,,191.9981861757143,2475.8630000000003,0:,,,,,,,,0
143669,BasicRequest,1,29040.0,29040.0,8032;-1;-1,21791;-1;-1,,,,,131.19923989,1093.3270000000002,0:,,,,,,,,0
145778,BasicRequest,1,29040.0,29040.0,6969;-1;-1,7589;-1;-1,,,,,202.6766124614286,2596.8600000000006,0:,,,,,,,,0
144400,BasicRequest,1,29040.0,29040.0,21827;-1;-1,6657;-1;-1,,,,,61.31302274714285,519.255,0:,,,,,,,,0
144100,BasicRequest,1,29040.0,29040.0,8036;-1;-1,21880;-1;-1,,,,,146.62520560428572,1396.2029999999997,0:,,,,,,,,0
146747,BasicRequest,1,29040.0,29040.0,21684;-1;-1,6717;-1;-1,,,,,155.11232903285713,2209.218,0:,,,,,,,,0
146542,BasicRequest,1,29040.0,29040.0,6748;-1;-1,22230;-1;-1,,,,,185.77388560428574,2781.136,0:,,,,,,,,0
143426,BasicRequest,1,29040.0,29040.0,7643;-1;-1,21811;-1;-1,,,,,149.93195989,1249.433,0:,,,,,,,,0
144019,BasicRequest,1,29040.0,29040.0,14353;-1;-1,6738;-1;-1,,,,,18.55996789,205.406,0:,,,,,,,,0
143510,BasicRequest,1,29040.0,29040.0,21631;-1;-1,21679;-1;-1,,,,,261.63080903285714,3282.2999999999997,0:,,,,,,,,0
143251,BasicRequest,1,29040.0,29040.0,8475;-1;-1,7282;-1;-1,,,,,59.04671989,492.05600000000004,0:,,,,,,,,0
143190,BasicRequest,1,29040.0,29040.0,7128;-1;-1,22002;-1;-1,,,,,86.41598389000002,965.1880000000003,0:,,,,,,,,0
143341,BasicRequest,1,29040.0,29040.0,21893;-1;-1,21050;-1;-1,,,,,102.8927484614286,1200.9750000000001,0:,,,,,,,,0
147726,BasicRequest,1,29040.0,29040.0,7946;-1;-1,14012;-1;-1,,,,,236.71520560428576,2153.2169999999996,0:,,,,,,,,0
147131,BasicRequest,1,29040.0,29040.0,21718;-1;-1,5565;-1;-1,,,,,155.13659989,1678.721,0:,,,,,,,,0
143041,BasicRequest,1,29040.0,29040.0,22123;-1;-1,22388;-1;-1,,,,,239.4064421757143,3329.8330000000005,0:,,,,,,,,0
145490,BasicRequest,1,29040.0,29040.0,21720;-1;-1,7447;-1;-1,,,,,192.37355989000002,2060.9089999999997,0:,,,,,,,,0
144635,BasicRequest,1,29040.0,29040.0,5511;-1;-1,7197;-1;-1,,,,,84.59070846142856,1329.5459999999998,0:,,,,,,,,0
147294,BasicRequest,1,29040.0,29040.0,6764;-1;-1,14289;-1;-1,,,,,16.39055989,170.484,0:,,,,,,,,0
143294,BasicRequest,1,29040.0,29040.0,6650;-1;-1,21858;-1;-1,,,,,143.5275461757143,1208.147,0:,,,,,,,,0
148356,BasicRequest,1,29040.0,29040.0,20612;-1;-1,7008;-1;-1,,,,,74.85374389,904.716,0:,,,,,,,,0
142966,BasicRequest,1,29040.0,29040.0,22450;-1;-1,21690;-1;-1,,,,,71.82695989000001,598.558,0:,,,,,,,,0
145767,BasicRequest,1,29040.0,29040.0,1166;-1;-1,5344;-1;-1,,,,,329.75880674714284,3872.722,0:,,,,,,,,0
145878,BasicRequest,1,29040.0,29040.0,21849;-1;-1,7174;-1;-1,,,,,133.41115189,1119.0479999999998,0:,,,,,,,,0
145382,BasicRequest,1,29040.0,29040.0,21865;-1;-1,7152;-1;-1,,,,,139.45611246142857,1457.3790000000001,0:,,,,,,,,0
143677,BasicRequest,1,29040.0,29040.0,21688;-1;-1,5362;-1;-1,,,,,56.83654617571428,591.646,0:,,,,,,,,0
143494,BasicRequest,1,29040.0,29040.0,6653;-1;-1,21734;-1;-1,,,,,47.530199890000006,396.08500000000004,0:,,,,,,,,0
146336,BasicRequest,1,29040.0,29040.0,7719;-1;-1,21821;-1;-1,,,,,114.73991989000001,956.1659999999999,0:,,,,,,,,0
144399,BasicRequest,1,29040.0,29040.0,6777;-1;-1,6772;-1;-1,,,,,19.88339989,165.695,0:,,,,,,,,0
144334,BasicRequest,1,29040.0,29040.0,21807;-1;-1,22009;-1;-1,,,,,62.815919889999996,523.466,0:,,,,,,,,0
