orig_taz,dest_taz,orig_x,orig_y,dest_x,dest_y,car_time,car_dist,bike_regular_time,bike_regular_dist,bike_electric_time,bike_electric_dist,walk_time,walk_dist,pt_time,pt_dist,car_cost,pt_cost,request_id,rq_time,start,end,orig_median_pt,dest_median_pt,PTabove25,PTabove50,PTabove75,nsm_travel_time,nsm_wait_time,nsm_total_time,nsm_cost,walk_av,bike_av,car_av,pt_av,nsm_av,u_walk,u_bike,u_car,u_pt,u_nsm,exp_walk,exp_bike,exp_car,exp_pt,exp_nsm,exp_total,prc_walk,prc_bike,prc_car,prc_pt,prc_nsm,choice,nsmuser,served
4508,4508,35.1722496,31.7684392,35.1736711,31.7688285,21.57,0.15,44.02,0.19,35.36,0.19,135.43,0.19,43.14,0.2625,0.1167,6.0,166060,29270.31025,7331,21981,60.0,60.0,1,1,0,32.355000000000004,150,182.35500000000002,2,1.0,1.0,0,1.0,1.0,3.8291399999999998,-0.57072,4.416015,3.31372,3.93529,46.02294148037767,0.5651184069326932,0.0,27.487187856996655,51.17698913172119,125.2522368760282,0.3674420723194758,0.004511842830336311,0.0,0.2194546663801529,0.408591418470035,4,1,-1
4505,4605,35.1724564,31.7621211,35.1685156,31.7573611,176.63,1.28,210.04,0.81,167.47,0.81,616.6,0.86,353.26,2.24,0.9958400000000001,6.0,302958,30635.28305,21499,14272,70.0,70.0,1,1,0,264.945,150,414.945,2,1.0,1.0,1,1.0,1.0,2.8667999999999996,-0.83494,3.7981960000000003,2.69348,3.47011,17.58066994688639,0.43390051468286656,44.6206162508798,14.783031459455596,32.1402776808565,109.55849585276115,0.16046833985849496,0.003960446073173532,0.4072766416111329,0.1349327712505559,0.2933618012066426,4,1,-1
4503,4508,35.1771188,31.7599061,35.1703696,31.7685172,257.77,1.81,404.14,1.91,328.4,1.91,1109.03,1.54,515.54,3.1675,1.4081800000000002,6.0,353896,31146.59422,21926,7295,60.0,60.0,1,1,0,386.655,150,536.655,2,1.0,1.0,1,1.0,1.0,1.8819399999999997,-1.1568,3.4915969999999996,2.36892,3.2266899999999996,6.566231001988059,0.3144909434240988,32.83834869577188,10.685845336918062,25.19611963694706,75.60103561504916,0.08685371765834625,0.004159876129547307,0.43436374156275537,0.1413452243078921,0.33327744034145895,4,1,-1
4603,4603,35.1687329,31.7490394,35.1709222,31.7477598,33.79,0.34,93.77,0.38,75.11,0.38,251.17,0.35,67.58,0.595,0.26452000000000003,6.0,253615,30141.26037,6904,6869,60.0,60.0,1,1,0,50.685,150,200.685,2,1.0,1.0,1,1.0,1.0,3.5976599999999994,-0.65022,4.339837999999999,3.2648400000000004,3.89863,36.51269469561677,0.52193093932271,76.69511372342473,26.175922508151984,49.33481409081934,189.24047595733555,0.19294336748470553,0.002758030155453529,0.40527859241231096,0.13832095050349255,0.2606990594440374,4,1,-1
4601,4604,35.1715157,31.7524051,35.1654487,31.7559366,139.41,0.95,192.73,0.95,158.01,0.95,651.67,0.91,278.82,1.6625,0.7391,6.0,413870,31746.62985,6773,7043,70.0,70.0,1,1,0,209.115,150,359.115,2,1.0,1.0,0,1.0,1.0,2.7966599999999997,-0.81602,3.9624950000000005,2.84236,3.5817699999999997,16.38981327379711,0.4421880654301519,0.0,17.156206445315213,35.93709324163931,69.92530102618178,0.23439031413908898,0.006323720583835393,0.0,0.245350483924145,0.5139354813529307,4,1,-1
4406,4605,35.1806041,31.7496462,35.162697,31.759118,431.41,3.73,801.94,3.98,655.59,3.98,2215.77,3.08,862.82,6.5275,2.90194,6.0,101415,28269.19052,5392,21705,50.0,70.0,1,0,0,647.115,150,797.115,2,1.0,1.0,1,1.0,1.0,-0.3315400000000004,-1.81118,2.621501,1.67436,2.7057700000000002,0.7178174429447557,0.1634611388124853,13.756356387223324,5.3353794133297985,14.965835948723019,34.93885033103338,0.020544964592242924,0.004678492201768181,0.39372664689555215,0.1527062099290316,0.42834368638140524,4,1,-1
4406,4406,35.1896868,31.7539076,35.1832374,31.756424,365.32,2.27,290.38,1.31,233.83,1.15,818.09,1.14,730.64,3.9725,1.7660600000000002,6.0,62415,27091.20225,19625,5459,50.0,50.0,1,0,0,547.98,150,697.98,2,1.0,1.0,0,1.0,1.0,2.4638199999999992,-0.96766,3.151239,1.93872,2.90404,11.74960942955695,0.3799711310761021,0.0,6.94984946757217,18.247717432234666,37.32714746043989,0.31477383697775024,0.010179484823446626,0.0,0.18618753214233072,0.48885914605647235,4,1,-1
4605,4605,35.168984,31.7575793,35.1685915,31.7598705,167.77,1.22,132.29,0.45,104.0,0.45,449.39,0.62,335.54,2.135,0.94916,6.0,237078,29976.94405,21962,20994,70.0,70.0,1,1,0,251.65500000000003,150,401.65500000000003,2,1.0,1.0,1,1.0,1.0,3.2012199999999997,-0.708,3.832254,2.7289200000000005,3.49669,24.56247814848561,0.49262846980013547,46.16648029408926,15.316336440847111,33.00602102082256,119.54394437404467,0.20546819227941257,0.004120898573153445,0.3861883639177704,0.1281230640418168,0.2760994811878469,4,1,-1
4605,4501,35.1654258,31.7582785,35.1751059,31.7678657,378.93,2.85,508.86,2.07,406.7,2.07,1306.23,1.81,757.86,4.9875,2.2173000000000003,6.0,353159,31139.49943,16448,7116,70.0,80.0,1,1,0,568.395,150,718.395,2,1.0,1.0,1,1.0,1.0,1.4875399999999996,-1.3134000000000001,2.966085,1.8842800000000004,2.8632099999999996,4.426193678788176,0.2689042259869049,19.415757914583004,6.581613973590241,17.5176684970436,48.21013828999193,0.09181043315337309,0.005577752637202608,0.40273184444719945,0.1365192925604309,0.3633606772017939,4,1,-1
4502,4508,35.1776053,31.7639346,35.1727842,31.7680847,252.04,1.74,341.85,1.47,275.79,1.47,566.63,0.79,504.08,3.045,1.3537200000000003,6.0,314549,30751.05956,21816,21766,60.0,60.0,1,1,0,378.06,150,528.06,2,1.0,1.0,1,1.0,1.0,2.9667399999999997,-1.05158,3.522118,2.39184,3.24388,19.42847940184931,0.3493852840299051,33.85605971405225,10.933593257595877,25.63298503397823,90.20050269150556,0.21539214108702462,0.003873429455541246,0.37534225091675205,0.121214327319104,0.2841778512215782,4,1,-1
