request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
23,BrokerDecisionRequest,1,1680,1680,2967;-1;-1,2990;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:91.2954359457433;t_drive:167.56405431369126;fare:153;add_fleet_vmt:2658.337628879116;chosen_by_broker:True|1:t_wait:220.37259713002413;t_drive:167.56405431369103;fare:153;add_fleet_vmt:4445.079828697627;chosen_by_broker:False,,,0,4,1771.2954359457435,1968.8594902594346,153,0
25,BrokerDecisionRequest,1,1680,1680,2990;-1;-1,2982;-1;-1,,,,,224.7451087756582,1872.8759064638184,0:t_wait:113.87048432189567;t_drive:254.74510877565808;fare:187;add_fleet_vmt:2875.469056051721;chosen_by_broker:True|1:t_wait:216.96869144371544;t_drive:254.7451087756583;fare:187;add_fleet_vmt:3703.934735161447;chosen_by_broker:False,,,0,3,1793.870484321896,2048.6155930975547,187,0
24,BrokerDecisionRequest,1,1680,1680,2969;-1;-1,2977;-1;-1,,,,,256.65680684883455,2203.346162362212,0:t_wait:179.22710742857134;t_drive:385.4986468488346;fare:220;add_fleet_vmt:2048.885533483096;chosen_by_broker:True|1:t_wait:176.08738061285248;t_drive:286.65680684883455;fare:220;add_fleet_vmt:4500.604362180724;chosen_by_broker:False,,,0,4,1859.2271074285718,2244.7257542774046,220,0
28,BrokerDecisionRequest,1,2100,2100,2973;-1;-1,2981;-1;-1,,,,,178.24268845651838,1853.8591110857842,0:t_wait:5.918593719044111;t_drive:208.2426884565184;fare:185;add_fleet_vmt:1936.0618016280625;chosen_by_broker:True|1:t_wait:166.9536687924483;t_drive:208.2426884565184;fare:185;add_fleet_vmt:3678.281110408055;chosen_by_broker:False,,,0,2,2105.9185937190437,2314.1612821755634,185,0
26,BrokerDecisionRequest,1,2040,2040,2991;-1;-1,2993;-1;-1,,,,,56.75290494872581,788.2347909545251,0:t_wait:163.83583609908055;t_drive:86.7529049487257;fare:78;add_fleet_vmt:2598.5398478862003;chosen_by_broker:False|1:t_wait:134.87611468093928;t_drive:86.7529049487257;fare:78;add_fleet_vmt:2196.321494856457;chosen_by_broker:True,,,1,0,2221.68552268094,2308.438427629666,78,0
27,BrokerDecisionRequest,1,2040,2040,2969;-1;-1,2993;-1;-1,,,,,75.16881497004519,1044.011319028405,0:t_wait:162.229334077761;t_drive:105.16881497004533;fare:104;add_fleet_vmt:2832.0038478861998;chosen_by_broker:False|1:t_wait:133.26961265961972;t_drive:135.16881497004488;fare:104;add_fleet_vmt:233.4640000000004;chosen_by_broker:True,,,1,0,2173.26961265962,2308.438427629666,104,0
29,BrokerDecisionRequest,1,2160,2160,2981;-1;-1,2976;-1;-1,,,,,135.07555748348486,1148.616045695707,0:t_wait:31.55259956779628;t_drive:165.07555748348477;fare:114;add_fleet_vmt:1295.739518284487;chosen_by_broker:False|1:t_wait:31.55259956779628;t_drive:165.07555748348477;fare:114;add_fleet_vmt:1295.739518284487;chosen_by_broker:True,,,1,3,2191.5525995677963,2356.6281570512815,114,0
30,BrokerDecisionRequest,1,2280,2280,2986;-1;-1,2984;-1;-1,,,,,83.35824565445503,777.242669599201,0:t_wait:111.94455948550967;t_drive:113.358245654455;fare:77;add_fleet_vmt:1837.6492618806574;chosen_by_broker:False|1:t_wait:111.94455948550967;t_drive:113.358245654455;fare:77;add_fleet_vmt:1837.6492618806574;chosen_by_broker:True,,,1,1,2391.9445594855088,2505.3028051399633,77,0
32,BrokerDecisionRequest,1,2400,2400,2981;-1;-1,2969;-1;-1,,,,,173.93680390219876,2279.3367272297323,0:t_wait:0;t_drive:203.9368039021988;fare:227;add_fleet_vmt:2279.3367272297323;chosen_by_broker:True|1:t_wait:83.15932049128014;t_drive:203.9368039021988;fare:227;add_fleet_vmt:2995.317464657065;chosen_by_broker:False,,,0,2,2400,2603.936803902199,227,0
31,BrokerDecisionRequest,1,2340,2340,2989;-1;-1,2978;-1;-1,,,,,246.70419219894586,2555.4246683245487,0:t_wait:206.76536720913828;t_drive:276.70419219894575;fare:255;add_fleet_vmt:4778.025795067366;chosen_by_broker:False|1:t_wait:193.31525508792765;t_drive:276.70419219894575;fare:255;add_fleet_vmt:4696.525638401174;chosen_by_broker:True,,,1,0,2533.3152550879277,2810.0194472868748,255,0
34,BrokerDecisionRequest,1,2520,2520,2990;-1;-1,2970;-1;-1,,,,,11.053039959097989,92.10866632581656,0:t_wait:216.96869144371522;t_drive:41.05303995909799;fare:9;add_fleet_vmt:1923.1674950234453;chosen_by_broker:False|1:t_wait:216.92598969631308;t_drive:41.05303995909799;fare:9;add_fleet_vmt:1772.3018709620624;chosen_by_broker:True,,,1,1,2736.9259896963117,2777.97902965541,9,0
